NASLOVI FILMOV;OCENA;LETNICA NASTANKA;ZANR;STEVILO NOMINACIJ;STEVILO NAGRAD;KRAJ;crime;drama;biography;history;sport;romance;war;mystery;adventure;family;fantasy;horror;thriller;film-noir;musical;action;sci-fi;comedy;music;western;BUDGET;BOX OFFICE
The Godfather ;9,2;1972;crime/drama;23;9;United States;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6000000;286000000
The Shawshank Redemption;9,3;1994;crime/drama;9;0;United States;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25000000;28341496
Schindler's List;8,9;1994;biography/drama/history;30;16;Poland;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22000000;321200000
Raging Bull;8,3;1980;biography/drama/sport;19;5;United States;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18000000;23400000
Casablanca;8,6;1943;drama/romance/war;8;3;United States;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;950000;3700000
One Flew Over the Cuckoo's Nest;8,8;1975;drama;24;17;United States;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4400000;112000000
Gone with the Wind;8,2;1940;drama/romance/war;13;8;United States;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3900000;390000000
Citizen Kane;8,4;1941;drama/mystery;9;1;United States;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;800000;0
The Wizard of Oz;8,1;1939;adventure/family/fantasy;6;2;United States;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;2777000;22342633
Titanic;7,7;1997;drama/romance;30;15;United States;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200000000;2187000000
Lawrence of Arabia;8,4;1962;adventure/biography/drama;22;15;Morocco;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;15000000;70000000
The Godfather 2;9,1;1974;crime/drama;20;7;United States;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13000000;57300000
Psycho;8,6;1960;horror/mystery/thriller;5;1;United States;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;806947;50000000
Sunset Blvd. (Boulevard?);8,6;1950;drama/film-noir;18;7;United States;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1750000;5000000
Vertigo;8,4;1958;mystery/romance/thriller;2;0;United States;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2479000;14000000
On the Waterfront;8,3;1954;crime/drama;19;13;United States;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;910000;9600000
Forrest Gump ;8,8;1994;drama/romance;27;10;United States;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55000000;677945399
The Sound of Music;8;1965;biography/drama/family;15;7;Austria;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;8200000;286214286
West Side Story;7,6;1961;crime/drama/musical;17;13;United States;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6000000;43700000
Star Wars;8,7;1977;action/adventure/fantasy;19;8;Guatemala;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;11000000;775400000
E.T. the Extra-Terrestrial;7,9;1982;adventure/family/sci-fi;26;7;United States;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;10500000;792900000
