NASLOVI FILMOV;OCENA;LETNICA NASTANKA;ZANR;STEVILO NOMINACIJ;STEVILO NAGRAD;KRAJ
The Godfather ;9,2;1972;crime/drama;23;9;New York
The Shawshank Redemption;9,3;1994;crime/drama;9;0;St. Croix, U.S. Virgin Islands
Schindler's List;8,9;1994;biography/drama/history;30;16;Józefa, Kraków, Malopolskie, Poland 
Raging Bull;8,3;1980;biography/drama/sport;19;5;Downtown, Los Angeles, California, USA
Casablanca;8,6;1943;drama/romance/war;8;3;Flagstaff, Arizona, USA
One Flew Over the Cuckoo's Nest;8,8;1975;drama;24;17;Depoe Bay, Oregon, USA
Gone with the Wind;8,2;1940;drama/romance/war;13;8; Agoura Hills, California, USA 
Citizen Kane;8,4;1941;drama/mystery;9;1;New York
The Wizard of Oz;8,1;1939;adventure/family/fantasy;6;2; Culver City, California
Titanic;7,7;1997;drama/romance;30;15;Santa Clarita, California
Lawrence of Arabia;8,4;1962;adventure/biography/drama;22;15;Morocco
The Godfather 2;9,1;1974;crime/drama;20;7; 2045 N. Hibiscus Drive, North Miami, Florida
Psycho;8,6;1960;horror/mystery/thriller;5;1;4270 Lankershim Boulevard, North Hollywood, Los Angeles, California
Sunset Blvd. (Boulevard?);8,6;1950;drama/film-noir;18;7;Bel-Air Country Club - 10768 Bellagio Road, Los Angeles, California
Vertigo;8,4;1958;mystery/romance/thriller;2;0; Union St & Montgomery St, San Francisco, California
On the Waterfront;8,3;1954;crime/drama;19;13;Court Street, Hoboken, New Jersey
Forrest Gump ;8,8;1994;drama/romance;27;10; Ambassador Hotel - 3400 Wilshire Boulevard, Los Angeles, California
The Sound of Music;8;1965;biography/drama/family;15;7; Bertelsmann, Salzburg, Salzburg, Austria
West Side Story;7,6;1961;crime/drama/musical;17;13;110th Street, Manhattan, New York City
Star Wars;8,7;1977;action/adventure/fantasy;19;8; Tikal National Park, Guatemala
E.T. the Extra-Terrestrial;7,9;1982;adventure/family/sci-fi;26;7;7121 Lonzo Street, Tujunga, Los Angeles, California
2001: A Space Odyssey;8,3;1968;mystery/sci-fi;9;4; Shepperton Studios, Shepperton, Surrey, England
The Silence of the Lambs;8,6;1991;crime/drama/thriller;21;8;Clay County, West Virginia
Chinatown;8,3;1974;drama/mystery/thriller;28;8; Trident Ranch (actor Walter Brennan's then-home), 3240 Sunset Valley Road, Moorpark, California
The Bridge on the River Kwai;8,3;1957;adventure/drama/war;16;14; Kalugamuwa, Gelioya, Kandy, Sri Lanka
Singin' in the Rain;8,4;1952;comedy/musical/romance;5;1;Grauman's Chinese Theater - 6925 Hollywood Blvd., Hollywood, Los Angeles, California
It's a Wonderful Life;8,7;1946;drama/family/fantasy;6;1; California
Some Like It Hot;8,3;1959;comedy;11;5; Coronado Beach, Coronado, California
12 Angry Men;8,9;1957;drama;9;1;New York
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;8,5;1964;comedy/war;10;3;Arctic
Amadeus;8,4;1984;biography/drama/music;26;16; Tyl Theatre, Plzen, Czech Republic
Apocalypse Now;8,5;1979;drama/war;20;7; Philippine
Gandhi;8,1;1982;biography/drama/history;32;18; Aga Khan Palace, Nagar Rd, Pune, Maharashtra, India
The Lord of the Rings: The Return of the King;8,9;2003;adventure/fantasy;25;19;Camperdown Studios, Camperdown Road, Miramar, Wellington, New Zealand
Gladiator;8,5;2000;action/drama;29;11; Ait Benhaddou, Morocco
From Here to Eternity;7,8;1953;drama/romance/war;16;10;Diamond Head, O'ahu, Hawaii
Saving Private Ryan;8,6;1998;action/drama;24;9;Calvados, France
Unforgiven;8,3;1992;western;19;7;Alberta, Canada
Raiders of the Lost Ark;8,6;1981;action/adventure;15;5; Borehamwood, Hertfordshire, England
Rocky;8,1;1976;drama/sport;21;4; 2822-2824 Rosehill St, Philadelphia, Pensylvannia
A Streetcar Named Desire;8,1;1951;drama;17;6; Los Angeles, California
The Philadelphia Story;8,1;1940;comedy/romance;6;2;Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California
To Kill a Mockingbird;8,4;1962;drama;15;6; Courthouse Square, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California
An American in Paris;7,3;1951;musical/romance;12;7; Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California
The Best Years of Our Lives;8,2;1946;drama/romance/war;10;9; Walnut Hills High School - 3250 Victory Parkway, Cincinnati, Ohio
My Fair Lady;7,9;1964;drama/family/musical;19;12;Backlot, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California
Ben-Hur;8,1;1959;adventure/drama;17;15;Anzio, Italy
Doctor Zhivago;8;1965;drama/romanace/war;19;10; Alberta, Canada
Patton;8,1;1970;biography/drama/war;15;8; Almería, Andalucía, Spain
Jaws;8,1;1975;drama/thriller;14;4; Martha's Vineyard, Massachusetts
Braveheart;8,4;1995;action/biography/drama;19;9;Arizona, USA
Il buono, il brutto, il cattivo;9;1966;western;0;0; Almería, Andalucía, Spain
Butch Cassidy and the Sundance Kid;8,2;1969;biography/crime/western;20;13; Lake Sherwood, California
The Treasure of the Sierra Madre;8,4;1948;action/adventure/drama;8;6; Tucson, Arizona, USA
The Apartment;8,4;1960;comedy/drama/romance;17;11;205 Columbus Avenue, New York City, New York
Platoon;8,2;1986;drama/war;15;9; Philippines
High Noon;8,1;1952;western;14;8; Brooks Ranch, Jamestown, California
Dances with Wolves;8;1990;adventure/drama/western;27;10; Badlands National Park, Interior, South Dakota, USA
The Pianist;8,5;2002;biography/drama/war;14;4; Babelsberg, Potsdam, Brandenburg, Germany
Goodfellas;8,7;1990;biography/crime/drama;18;6; 2409 Thirty Second Street, Astoria, Queens, New York
The Exorcist;8;1973;horror;18;6; 3600 Prospect Street, Georgetown, Washington, District of Columbia, USA
The Deer Hunter;8,2;1978;drama/war;24;8; Mingo Junction, Ohio, USA
All Quiet on the Western Front;8,1;1930;drama/war;4;2; RKO-Pathé Studios - 9336 Washington Blvd., Culver City, California
The French Connection;7,8;1971;action/crime/thriller;17;10; Château d'If, Marseille, Bouches-du-Rhône, France
City Lights;8,6;1931;comedy/drama/romance;0;0; Chaplin Studios - 1416 N. La Brea Avenue, Hollywood, Los Angeles, California
The King's Speech;8,1;2010;biography/drama/history;30;10; Halton House, Halton, Wendover, Buckinghamshire, England
It Happened One Night;8,3;1934;comedy/romance;5;5; Busch Gardens - S. Grove Avenue, Pasadena, California
A Place in the Sun;7,9;1951;drama/romance;13;7; Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California
Midnight Cowboy;8;1969;drama;20;10;Holy Name Cemetery, Jersey City, New Jersey
