NASLOV FILMOV;ZANR;BUDGET;BOX OFFICE ($);KRAJ;action;mystery;sci-fi;comedy;romance;drama;thriller;biography;adventure;crime;animation;family;musical;fantasy;horror;history;sport;western;music;war
Inception;action/mystery/sci-fi;160000000;825500000;England;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Valentine's Day;comedy/romance;52000000;216485654;United States;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Black Swan;drama/mystery/thriller;13000000;329398046;United States;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Kick-Ass;action/comedy;30000000;96188903;England;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Social Network;biography/drama;40000000;224900000;United States;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Hot Tub Time Machine;adventure/comedy/sci-fi;36000000;64600000;United States;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
The Town;crime/drama/thriller;37000000;154000000;United States;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
Never Let Me Go;drama/romance;15000000;9455232;England;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TRON: Legacy;action/adventure/sci-fi;170000000;400100000;United States;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Despicable Me;animation/comedy/family;69000000;543100000;United States;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Easy A;comedy/romance;8000000;75000000;United States;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burlesque;drama/musical/romance;55000000;89657398;United States;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Shutter Island;mystery/thriller;80000000;294804195;United States;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Toy Story 3;animation/adventure/comedy;200000000;1063000000;United States;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
Alice in Wonderland;adventure/family/fantasy;200000000;1025000000;England;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0
Iron Man 2;action/adventure/sci-fi;200000000;623900000;United States;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Percy Jackson & the Olympians: The Lightning Thief;adventure/family/fantasy;95000000;226497209;United States;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0
Scott Pilgrim vs. the World;action/comedy/romance;60000000;47700000;Canada;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tangled;animation/comedy/family;260000000;591800000;United States;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Harry Potter and the Deathly Hallows: Part 1;adventure/family/fantasy;231000000;960300000;Wales;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0
Love & Other Drugs;comedy/drama/romance;30000000;102313925;United States;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
How to Train Your Dragon;animation/adventure/family;165000000;494878759;United States;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0
Let Me In;drama/horror/mystery;20000000;24145613;United States;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Robin Hood;action/adventure/drama;200000000;321669730;Wales;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
The King's Speech;biography/drama/history;150000000;414211549;England;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
