NASLOVI FILMOV;ZANR;BUDGET;BOX OFFICE;KRAJ;action;adventure;sci-fi;fantasy;mystery;comedy;drama;romance;crime;sport;biography;thriller;family;music;war;horror;animation
Captain America: The First Avenger;action/adventure/sci-fi;140000000;370600000;England;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I Am Number Four;action/adventure/sci-fi;50000000;149900000;United States;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Harry Potter and the Deathly Hallows: Part 2;adventure/fantasy/mystery;125000000;1300000000;England;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Thor;action/adventure/fantasy;150000000;449300000;United States;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Crazy, Stupid, Love.;comedy/drama/romance;50000000;142900000;United States;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
X-Men: First Class;action/adventure/sci-fi;160000000;353624124;England;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Beastly;drama/fantasy/romance;17000000;43165571;Canada;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0
Shame;drama;6500000;17066930;United States;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Horrible Bosses;comedy/crime;35000000;209600000;United States;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
The Help;drama;25000000;216600000;United States;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
The Girl with the Dragon Tattoo;crime/drama/mystery;90000000;232600000;Switzerland;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0
Warrior;drama/sport;25000000;23060000;United States;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
Bridesmaids;comedy/romance;32500000;288400000;United States;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
Intouchables;biography/comedy/drama;9500000;444700000;France;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0
Hanna;action/adventure/thriller;30000000;63782078;Germany;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Drive;crime/drama;15000000;76100000;United States;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
In Time;action/sci-fi/thriller;40000000;173930596;United States;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Immortals;action/drama/fantasy;75000000;226904017;Canada;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
Sucker Punch;action/adventure/fantasy;82000000;89800000;Canada;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Tinker Tailor Soldier Spy;drama/mystery/thriller;31000000;80630608;England;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0
Pirates of the Caribbean: On Stranger Tides;action/adventure/fantasy;378500000;1046000000;England;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Friends with Benefits;comedy/romance;35000000;149542245;United States;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
Green Lantern;action/adventure/sci-fi;200000000;219900000;United States;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paul;adventure/comedy/sci-fi;40000000;98000000;United States;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
The Best Exotic Marigold Hotel;comedy/drama;10000000;136836156;India;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
Midnight in Paris;comedy/romance;17000000;151119219;France;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
One Day;drama/romance;15000000;56706628;France;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
The Three Musketeers;action/adventure/romance;75000000;132274484;Germany;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Fast Five;action/crime/thriller;125000000;626100000;United States;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
Just Go with It;comedy/romance;80000000;214900000;United States;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
Source Code;mystery/sci-fi/thriller;28000000;147300000;United States;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0
Rise of the Planet of the Apes;action/drama;93000000;481801049;New Zealand;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Margin Call;drama/thriller;3500000;19504039;United States;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
No Strings Attached;comedy/romance;25000000;149228077;United States;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
Limitless;mystery/sci-fi/thriller;27000000;161849455;United States;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0
Hugo;adventure/drama/family;170000000;185800000;France;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
The Twilight Saga: Breaking Dawn - Part 1;adventure/drama/fantasy;110000000;712171856;Brazil;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
Footloose;comedy/drama/music;24000000;63500000;United States;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0
