NASLOV FILMOV;ZANR;BUDGET;BOX OFFICE;KRAJ;comedy;music;romance;drama;action;adventure;sci-fi;western;crime;thriller;fantasy;horror;history;musical;mystery;animation;biography;family;sport;war
Pitch Perfect ;comedy/music/romance;17000000;113042075;United States;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Magic Mike;comedy/drama;7000000;167221571;United States;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Avengers;action/adventure/sci-fi;220000000;1518000000;United States;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
The Hunger Games;adventure/sci-fi;78000000;691200000;United States;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Django Unchained;western;100000000;425400000;United States;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
21 Jump Street;action/comedy/crime;42000000;201600000;United States;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
The Dark Knight Rises;action/thriller;250000000;1084439099;United States;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Cloud Atlas;drama/sci-fi;102000000;130482868;Spain;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
The Hobbit: An Unexpected Journey;adventure/fantasy;180000000;1017000000;New Zealand;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Ted;comedy/fantasy;50000000;549400000;United States;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Byzantium;drama/fantasy/horror;12300000;0;Ireland;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Zero Dark Thirty;drama/history/thriller;40000000;138800000;India;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
Silver Linings Playbook;comedy/drama/romance;21000000;236400000;United States;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
American Reunion;comedy;50000000;234989584;United States;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Perks of Being a Wallflower;drama/romance;13000000;33400000;United States;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Amazing Spider-Man;action/adventure/fantasy;230000000;757900000;United States;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
The Twilight Saga: Breaking Dawn - Part 2;adventure/drama/fantasy;120000000;829685377;Brazil;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Les Miserables;drama/musical/romance;61000000;441800000;England;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Skyfall;action/adventure;200000000;1108600000;England;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Broken;drama;0;0;England;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Snow White and the Huntsman;action/drama/fantasy;170000000;396592829;Scotland;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Spring Breakers;action/crime/drama;5000000;31724284;United States;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Jack Reacher;action/crime/thriller;60000000;218340595;United States;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
Prometheus;adventure/mystery/sci-fi;130000000;403400000;Scotland;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Looper;action/crime/sci-fi;30000000;176500000;United States;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
Argo;drama/thriller;44500000;232300000;United States;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Savages;crime/drama/thriller;45000000;82966152;United States;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
Disconnect;drama/thriller;10000000;3400000;United States;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Moonrise Kingdom;adventure/comedy/drama;16000000;68263166;United States;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lawless;crime/drama;26000000;53676580;United States;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
The Place Beyond the Pines;crime/drama/romance;15000000;25500000;United States;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Stuck in Love;comedy/drama/romance;0;977671;United States;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Taken 2;action/thriller;45000000;376100000;Turkey;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Wreck-It Ralph;animation/adventure/comedy;165000000;471200000;United States;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Lincoln;biography/drama/history;65000000;275300000;United States;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
The Vow;drama/romance;30000000;196114570;Canada;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
What to Expect When You're Expecting;comedy/drama/romance;40000000;84384002;United States;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anna Karenina;drama/romance;47664398;68929150;England;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sinister;horror/mystery/thriller;3000000;77700000;United States;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0
The Cabin in the Woods;horror/mystery/thriller;30000000;66500000;Canada;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0
Project X;comedy/crime;12000000;102700000;United States;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
John Carter;action/adventure/fantasy;263700000;284100000;United States;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Mud;drama;10000000;28800000;United States;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The First Time;comedy/drama/romance;2000000;92654;United States;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Men in Black 3;action/comedy/sci-fi;225000000;624000000;United States;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
End of Watch;crime/drama/thriller;7000000;53000000;United States;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
Flight;drama/thriller;31000000;161800000;United States;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Life of Pi;adventure;120000000;609016565;Canada;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Expendables 2;action/adventure/thriller;92000000;311900000;China;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Dark Shadows;comedy/horror;100000000;245527149;England;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Safe House;action/crime/mystery;85000000;208000000;United States;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Jagten;drama;3800000;16800000;Denmark;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dredd;action/sci-fi;50000000;41400000;England;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Chronicle;drama/sci-fi/thriller;12000000;126636097;United States;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
The Lucky One;drama/romance;25000000;99357138;United States;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Dictator;comedy;65000000;179379533;United States;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brave;animation/adventure/comedy;185000000;539000000;United States;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Safety Not Guaranteed;comedy/drama/romance;750000;4424699;United States;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Lorax;animation/comedy/family;70000000;348840316;United States;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
The Woman in Black;drama/horror/thriller;17000000;127700000;England;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
The Bourne Legacy;action/adventure/mystery;125000000;276144750;Canada;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Hit and Run;action/comedy/romance;2000000;14500000;United States;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Five-Year Engagement;comedy/romance;30000000;53900000;United States;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Master;drama;32000000;28258060;United States;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
That's My Boy;comedy;70000000;57700000;United States;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Step Up Revolution;drama/music/romance;33000000;140470746;United States;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
This Means War;action/comedy/romance;65000000;156491279;United States;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Iceman;biography/crime/drama;10000000;4451430;United States;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
Here Comes the Boom;action/comedy/sport;42000000;73100000;United States;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Lo imposible;drama/thriller;30000000;180274123;Thailand;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
