NASLOV FILMOV;ZANR;BUDGET;BOX OFFICE;KRAJ;biography;comedy;crime;drama;fantasy;horror;animation;adventure;romance;sci-fi;action;history;thriller;mystery;music;war;family;western
The Wolf of Wall Street;biography/comedy/crime;100000000;392000000;United States;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Horns;drama/fantasy/horror;0;3347106;Canada;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Nymphomaniac: Vol. 1;drama;4700000;18400000;Germany;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Frozen;animation/adventure/comedy;150000000;1274000000;United States;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
Her;drama/romance/sci-fi;23000000;47400000;United States;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
American Hustle;crime/drama;40000000;251100000;United States;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Man of Steel;action/adventure/fantasy;225000000;668000000;United States;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0
12 Years a Slave;biography/drama/history;20000000;187700000;United States;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
The Great Gatsby;drama/romance;105000000;351040419;Australia;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
The Hunger Games: Catching Fire;adventure/sci-fi;130000000;864900000;United States;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
Lone Survivor;action/biography/drama;40000000;149300000;United States;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
The Hobbit: The Desolation of Smaug;adventure/fantasy;225000000;960400000;New Zealand;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
Under the Skin;drama/sci-fi;13300000;5400000;Scotland;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Snowpiercer;action/sci-fi/thriller;40000000;86800000;Czech Republic;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0
Fast & Furious 6;action/crime/thriller;160000000;788700000;England;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
Prisoners;crime/drama/mystery;46000000;122000000;United States;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Thor: The Dark World;action/adventure/fantasy;170000000;644800000;England;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0
Pacific Rim;action/adventure/sci-fi;190000000;411000000;Canada;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0
Kick-Ass 2;action/comedy/crime;28000000;60795985;Canada;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
About Time;drama/fantasy/romance;12000000;87100000;England;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Begin Again;drama/music;8000000;63500000;United States;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
The Conjuring;horror;20000000;318000141;United States;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
This Is the End;comedy/fantasy;32000000;126000000;United States;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
We're the Millers;comedy;37000000;270000000;United States;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oblivion;action/adventure/mystery;120000000;286168572;United States;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0
Dallas Buyers Club;biography/drama;5000000;55200000;United States;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Joe;drama;4000000;2365467;United States;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Now You See Me;crime/mystery/thriller;75000000;351723989;United States;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
Nymphomaniac: Vol. 2;drama;4700000;18400000;England;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Star Trek Into Darkness;action/adventure/sci-fi;190000000;467381584;United States;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0
The Mortal Instruments: City of Bones;action/adventure/fantasy;60000000;90565421;Canada;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0
Iron Man 3;action/adventure/sci-fi;200000000;1200000000;United States;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0
Gimme Shelter;drama;7500000;1359910;United States;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
La vie d'Adele;drama/romance;4000000;19500000;France;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Grown Ups 2;comedy;80000000;247000000;United States;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
What If;comedy/drama/romance;0;7847000;Canada;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
The Spectacular Now;comedy/drama/romance;2500000;6900000;United States;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Belle;drama;10900000;15500793;England;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rush;action/biography/drama;38000000;90200000;England;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
After Earth;action/adventure/sci-fi;130000000;243700000;United States;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0
Oculus;horror;5000000;44000000;United States;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Ida;drama;0;10700000;Poland;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
