NASLOVI FILMOV;ZANR;BUDGET;BOX OFFICE;KRAJ;action;adventure;comedy;drama;biography;romance;music;mystery;thriller;animation;fantasy;sci-fi;war;crime;history;sport;musical;family;western;horror
Kingsman: The Secret Service;action/adventure/comedy;81000000;107100000;England;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Birdman;comedy/drama;16500000;72500000;United States;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
American Sniper;action/biography/drama;58800000;394400000;Morocco;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Theory of Everything;biography/drama/romance;15000000;98600000;England;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Whiplash;drama/music;3300000;11400000;United States;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Gone Girl;drama/mystery/thriller;61000000;368100000;United States;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
The Imitation Game;biography/drama/thriller;14000000;158000000;England;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Big Hero 6;animation/action/adventure;165000000;521500000;United States;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
John Wick;action/thriller;20000000;78700000;United States;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Seventh Son;action/adventure/fantasy;95000000;98400000;United States;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Interstellar;adventure/sci-fi;165000000;672000000;Canada;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Fury;action/drama/war;68000000;211800000;England;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Nightcrawler;crime/drama/thriller;85000000;38700000;United States;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
Boyhood;drama;4000000;44400000;United States;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Project Almanac;sci-fi/thriller;12000000;24600000;United States;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
The Interview;action/comedy;44000000;11300000;Canada;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guardians of the Galaxy;action/adventure/sci-fi;195000000;774200000;England;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Into the Woods;adventure/comedy/fantasy;50000000;172400000;England;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
The Grand Budapest Hotel;adventure/comedy/drama;30000000;174600000;Germany;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cut Bank;thriller;0;0;Canada;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
The Maze Runner;action/mystery/sci-fi;34000000;340800000;United States;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
Selma;biography/drama/history;20000000;52900000;United States;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
The Judge;drama;50000000;83700000;United States;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Stil Alice;drama;5000000;6500000;United States;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Love, Rosie;comedy/romance;0;4419000;Canada;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Taken 3;action/thriller;48000000;279300000;United States;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
The Loft;thriller;14000000;6800000;Belgium;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Unbroken;biography/drama/sport;65000000;159900000;Australia;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Edge of Tomorrow;action/sci-fi;178000000;369200000;England;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Dumb and Dumber To;comedy;35000000;169800000;United States;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Foxcatcher;biography/drama/sport;24000000;15000000;United States;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Divergent;adventure/sci-fi/thriller;85000000;288747895;United States;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
The Best of Me;drama/romance;26000000;35900000;United States;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Equalizer;action/crime/thriller;55000000;192300000;United States;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
Dracula Untold;action/drama/fantasy;70000000;215500000;Northern Ireland;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
The Hobbit: The Battle of the Five Armies;adventure/fantasy;250000000;951363236;England;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Horrible Bosses 2;comedy/crime;42000000;106600000;United States;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
